2017-02-14 12:06:10 : 2017-02-14 12:06:10.515000:can not find YMX url id,please search regular is valid:OPPO R9S Plus,https://www.amazon.cn/s/field-keywords=OPPO R9S Plus 
2017-02-14 12:06:19 : 2017-02-14 12:06:19.855000:can not find TM url spname,please search regular is valid:OPPO R9S Plus,https://list.tmall.com/search_product.htm?q=OPPO R9S Plus&type=p 
2017-02-14 12:06:19 : 2017-02-14 12:06:19.858000:can not find TM url spname,please search regular is valid:OPPO R9S Plus,https://list.tmall.com/search_product.htm?q=OPPO R9S Plus&type=p 
2017-02-14 12:06:19 : 2017-02-14 12:06:19.863000:can not find TM url spname,please search regular is valid:OPPO R9S Plus,https://list.tmall.com/search_product.htm?q=OPPO R9S Plus&type=p 
2017-02-14 12:06:27 : 2017-02-14 12:06:27.170000:can not find SN url id,please search regular is valid:OPPO R9,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9&pg=01&st=6 
2017-02-14 12:06:27 : 2017-02-14 12:06:27.172000:can not find SN url id,please search regular is valid:OPPO R9,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9&pg=01&st=6 
2017-02-14 12:06:27 : 2017-02-14 12:06:27.174000:can not find SN url id,please search regular is valid:OPPO R9,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9&pg=01&st=6 
2017-02-14 12:06:27 : 2017-02-14 12:06:27.176000:can not find SN url id,please search regular is valid:OPPO R9,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9&pg=01&st=6 
2017-02-14 12:06:27 : 2017-02-14 12:06:27.178000:can not find SN url id,please search regular is valid:OPPO R9,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9&pg=01&st=6 
2017-02-14 12:06:34 : 2017-02-14 12:06:34.750000:can not find YMX url id,please search regular is valid:OPPO R9,https://www.amazon.cn/s/field-keywords=OPPO R9 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.258000:can not find YMX url id,please search regular is valid:OPPO R9S,https://www.amazon.cn/s/field-keywords=OPPO R9S 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.556000:can not find SN url id,please search regular is valid:OPPO R9S,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9S&pg=01&st=6 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.558000:can not find SN url id,please search regular is valid:OPPO R9S,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9S&pg=01&st=6 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.560000:can not find SN url id,please search regular is valid:OPPO R9S,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9S&pg=01&st=6 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.563000:can not find SN url id,please search regular is valid:OPPO R9S,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9S&pg=01&st=6 
2017-02-14 12:06:36 : 2017-02-14 12:06:36.565000:can not find SN url id,please search regular is valid:OPPO R9S,http://search.suning.com/emall/searchProductList.do?keyword=OPPO R9S&pg=01&st=6 
2017-02-14 12:06:37 : 2017-02-14 12:06:37.560000:can not find TM url spname,please search regular is valid:OPPO R9S,https://list.tmall.com/search_product.htm?q=OPPO R9S&type=p 
2017-02-14 12:06:37 : 2017-02-14 12:06:37.563000:can not find TM url spname,please search regular is valid:OPPO R9S,https://list.tmall.com/search_product.htm?q=OPPO R9S&type=p 
2017-02-14 12:06:37 : 2017-02-14 12:06:37.566000:can not find TM url spname,please search regular is valid:OPPO R9S,https://list.tmall.com/search_product.htm?q=OPPO R9S&type=p 
2017-02-14 12:06:41 : 2017-02-14 12:06:41.280000:TM url---the first regular is valid:三星Galaxy S7,https://list.tmall.com/search_product.htm?q=三星Galaxy S7&type=p ? 
2017-02-14 12:07:26 : 2017-02-14 12:07:26.104000:can not find YMX url id,please search regular is valid:三星Galaxy A8,https://www.amazon.cn/s/field-keywords=三星Galaxy A8 
2017-02-14 12:07:30 : 2017-02-14 12:07:30.658000:can not find YMX url id,please search regular is valid:三星Galaxy C7,https://www.amazon.cn/s/field-keywords=三星Galaxy C7 
2017-02-14 12:07:32 : 2017-02-14 12:07:32.032000:TM url---the first regular is valid:三星Galaxy C7,https://list.tmall.com/search_product.htm?q=三星Galaxy C7&type=p ? 
